model,language,tokenizer_fertility,english_fertility_tokens_per_character
Qwen2.5-3B-Instruct,eng,0.3110715194706032,0.3110715194706032
Qwen2.5-3B-Instruct,eng_metric,0.3102768795472918,0.3110715194706032
Qwen2.5-3B-Instruct,est,0.4884087994475683,0.3110715194706032
Qwen2.5-3B-Instruct,fra,0.372296302903269,0.3110715194706032
Qwen2.5-3B-Instruct,hin,1.1958312405826217,0.3110715194706032
Qwen2.5-3B-Instruct,isl,0.5361037713187605,0.3110715194706032
Qwen2.5-3B-Instruct,ita,0.3917287089159252,0.3110715194706032
Qwen2.5-3B-Instruct,jpn,0.7281824738550307,0.3110715194706032
Qwen2.5-3B-Instruct,mar,1.1631330432367373,0.3110715194706032
Qwen2.5-3B-Instruct,nld,0.3935232439454393,0.3110715194706032
Qwen2.5-3B-Instruct,nob,0.4230479915751466,0.3110715194706032
Qwen2.5-3B-Instruct,rus,0.4443868901864758,0.3110715194706032
Qwen2.5-3B-Instruct,ukr,0.6400336810590822,0.3110715194706032
Qwen2.5-3B-Instruct,uncorrected_isl,0.5361037713187605,0.3110715194706032
Qwen2.5-3B-Instruct,zho,0.9554681552905354,0.3110715194706032
Qwen2.5-72B-Instruct,ara,0.5197614136796923,0.3110715194706032
Qwen2.5-72B-Instruct,dan,0.4249875807252856,0.3110715194706032
Qwen2.5-72B-Instruct,deu,0.3681071698784993,0.3110715194706032
Qwen2.5-72B-Instruct,eng,0.3110715194706032,0.3110715194706032
Qwen2.5-72B-Instruct,eng_metric,0.3102768795472918,0.3110715194706032
Qwen2.5-72B-Instruct,est,0.4884087994475683,0.3110715194706032
Qwen2.5-72B-Instruct,fra,0.372296302903269,0.3110715194706032
Qwen2.5-72B-Instruct,hin,1.1958312405826217,0.3110715194706032
Qwen2.5-72B-Instruct,isl,0.5361037713187605,0.3110715194706032
Qwen2.5-72B-Instruct,ita,0.3917287089159252,0.3110715194706032
Qwen2.5-72B-Instruct,jpn,0.7281824738550307,0.3110715194706032
Qwen2.5-72B-Instruct,mar,1.1631330432367373,0.3110715194706032
Qwen2.5-72B-Instruct,nld,0.3935232439454393,0.3110715194706032
Qwen2.5-72B-Instruct,nob,0.4230479915751466,0.3110715194706032
Qwen2.5-72B-Instruct,rus,0.4443868901864758,0.3110715194706032
Qwen2.5-72B-Instruct,ukr,0.6400336810590822,0.3110715194706032
Qwen2.5-72B-Instruct,uncorrected_isl,0.5361037713187605,0.3110715194706032
Qwen2.5-72B-Instruct,zho,0.9554681552905354,0.3110715194706032
Qwen2.5-7B-Instruct,ara,0.5197614136796923,0.3110715194706032
Qwen2.5-7B-Instruct,dan,0.4249875807252856,0.3110715194706032
Qwen2.5-7B-Instruct,deu,0.3681071698784993,0.3110715194706032
Qwen2.5-7B-Instruct,eng,0.3110715194706032,0.3110715194706032
Qwen2.5-7B-Instruct,eng_metric,0.3102768795472918,0.3110715194706032
Qwen2.5-7B-Instruct,est,0.4884087994475683,0.3110715194706032
Qwen2.5-7B-Instruct,fra,0.372296302903269,0.3110715194706032
Qwen2.5-7B-Instruct,hin,1.1958312405826217,0.3110715194706032
Qwen2.5-7B-Instruct,isl,0.5361037713187605,0.3110715194706032
Qwen2.5-7B-Instruct,ita,0.3917287089159252,0.3110715194706032
Qwen2.5-7B-Instruct,jpn,0.7281824738550307,0.3110715194706032
Qwen2.5-7B-Instruct,mar,1.1631330432367373,0.3110715194706032
Qwen2.5-7B-Instruct,nld,0.3935232439454393,0.3110715194706032
Qwen2.5-7B-Instruct,nob,0.4230479915751466,0.3110715194706032
Qwen2.5-7B-Instruct,rus,0.4443868901864758,0.3110715194706032
Qwen2.5-7B-Instruct,ukr,0.6400336810590822,0.3110715194706032
Qwen2.5-7B-Instruct,uncorrected_isl,0.5361037713187605,0.3110715194706032
Qwen2.5-7B-Instruct,zho,0.9554681552905354,0.3110715194706032
Qwen3-0.6B,ara,0.5197614136796923,0.3110715194706032
Qwen3-0.6B,dan,0.4249875807252856,0.3110715194706032
Qwen3-0.6B,deu,0.3681071698784993,0.3110715194706032
Qwen3-0.6B,eng,0.3110715194706032,0.3110715194706032
Qwen3-0.6B,eng_metric,0.3102768795472918,0.3110715194706032
Qwen3-0.6B,est,0.4884087994475683,0.3110715194706032
Qwen3-0.6B,fra,0.372296302903269,0.3110715194706032
Qwen3-0.6B,hin,1.1958312405826217,0.3110715194706032
